TaxonID	#	rank	taxon	author	vernacularFI	obsoleteFI
			Tigrigobius pallens	(Ginsburg, 1939)	karibiantiikeritokko			
			Tigrigobius panamensis	(Victor, 2010)	panamantiikeritokko			
			Tigrigobius puncticulatus	(Ginsburg, 1938)	pilkkutiikeritokko			
			Tigrigobius redimiculus	(Taylor & Akins, 2007)	korutiikeritokko			
			Tigrigobius rubrigenis	(Victor, 2010)	rubiinitiikeritokko			
			Tigrigobius saucrus	(Robins, 1960)	leoparditokko			
			Tigrigobius zebrellus	(Robins, 1958)	tiikeritokko			
		suku	Trimma	Jordan & Seale, 1906	trimmat			
			Trimma caesiura	Jordan & Seale, 1906	verkkotrimma			
			Trimma macrophthalmus	(Tomiyama, 1936)	tulitrimma			
			Trimma naudei	Smith, 1957	pihkatrimma			
			Trimma striatum	(Herre, 1945)	tulijuovatrimma			
			Trimma tevegae	Cohen & Davis, 1969	sinijuovatrimma			
		suku	Trimmatom 	Winterbottom & Emery, 1981				
			Trimmatom nanus	Winterbottom & Emery, 1981	minitokko			
		suku	Valenciennea 	Bleeker, 1856				
			Valenciennea helsdingenii	(Bleeker, 1858)	parijuovatokko			
			Valenciennea immaculata	(Ni, 1981)	rubiinijuovatokko			
			Valenciennea longipinnis	(Lay & Bennett, 1839)	pitkäevätokko			
			Valenciennea puellaris	(Tomiyama, 1956)	neitotokko			
			Valenciennea sexguttata	(Valenciennes, 1837)	täpläposkitokko			
			Valenciennea strigata	(Broussonet, 1782)	juovaposkitokko			
			Valenciennea wardii	(Playfair, 1867)	hämyraitatokko			
MX.5089803		suku	Vanderhorstia 	Smith, 1949				
			Vanderhorstia ambanoro	(Fourmanoir, 1957)	täpläraputokko			
MX.5089804			Vanderhorstia mertensi	Klausewitz, 1974	timanttiraputokko			
			Vanderhorstia ornatissima	Smith, 1959	kirjoraputokko			
MX.5089805		suku	Vanneaugobius 	Brownell, 1978				
MX.5089807			Vanneaugobius canariensis	Van Tassell, Miller & Brito, 1988	kanariankaunotokko			
MX.5089809			Vanneaugobius dollfusi	Brownell, 1978	rusokaunotokko			
		suku	Wuhanlinigobius 	Huang, Jaafar & Chen, 2014				
			Wuhanlinigobius malayensis	Huang, Zeehan & Chen, 2013	malakankitatokko			
			Wuhanlinigobius polylepis	(Wu & Ni, 1985)	keltapyrstökitatokko			
		suku	Yongeichthys 	Whitley, 1932				
			Yongeichthys thomasi	(Boulenger, 1916)	keltasaumatokko			
MX.5089812		suku	Zebrus	de Buen, 1930				
MX.5089813			Zebrus zebrus	(Risso, 1827)	valkokaulustokko			
MX.5086645		lahko	Synbranchiformes		yhdyskiduskalat			
MX.5086646		alalahko	Mastacembeloidei					
MX.5086647		heimo	Mastacembelidae		puikkokalat			
		suku	Macrognathus	Lacepède, 1800				
			Macrognathus aculeatus	(Bloch, 1786)	kärsäpuikkokala 	timanttipuikkokala 		
			Macrognathus albus	Plamoottil & Abraham, 2014	utupuikkokala			
			Macrognathus aral	(Bloch & Schneider, 1801)	kultarengaspuikkokala	kultapuikkokala		
			Macrognathus aureus	Britz, 2010	kultapuikkokala			
			Macrognathus caudiocellatus	(Boulenger, 1893)	sysipuikkokala			
			Macrognathus circumcinctus	(Hora, 1924)	nauhapuikkokala			
			Macrognathus dhanzei 	Kumar, 2020	tiikeripuikkokala			
			Macrognathus dorsiocellatus	Britz, 2010	helopuikkokala			
			Macrognathus fasciatus	Plamoottil & Abraham, 2014	raitapuikkokala			
			Macrognathus guentheri	(Day, 1865)	intianpuikkokala			
			Macrognathus keithi	(Herre, 1940)	borneonpuikkokala			
			Macrognathus kris 	Ng & Tan, 2020	lehtipuikkokala			
			Macrognathus lineatomaculatus	Britz, 2010	rivipuikkokala			
			Macrognathus maculatus	(Cuvier, 1832)	pisamapuikkokala			
			Macrognathus malabaricus	(Jerdon, 1849)	malabarinpuikkokala			
			Macrognathus meklongensis	Roberts, 1986	rusopuikkokala			
			Macrognathus morehensis	Arunkumar & Tombi Singh, 2000	burmanpuikkokala			
			Macrognathus obscurus	Britz, 2010	hämypuikkokala			
			Macrognathus pancalus	Hamilton, 1822	marmoripuikkokala			
			Macrognathus pavo	Britz, 2010	nokipuikkokala			
			Macrognathus pentophthalmos	(Gronow, 1854)	ceyloninpuikkokala			
			Macrognathus semiocellatus	Roberts, 1986	rinkulapuikkokala			
			Macrognathus siamensis	(Günther, 1861)	timanttipuikkokala			
			Macrognathus siangensis 	Arunkumar, 2016	assaminpuikkokala			
			Macrognathus taeniagaster	(Fowler, 1935)	kiilapuikkokala			
			Macrognathus tapirus	Kottelat & Widjanarti, 2005	tapiiripuikkokala			
			Macrognathus zebrinus	(Blyth, 1858)	seeprapuikkokala			
		suku	Mastacembelus	Scopoli, 1777				
			Mastacembelus alboguttatus	Boulenger, 1893	tähtipuikkokala			
			Mastacembelus albomaculatus	Poll, 1953	hiutalepuikkokala			
			Mastacembelus ansorgii	Boulenger, 1905	punospuikkokala			
			Mastacembelus apectoralis	Brown, Britz, Bills, Rüber & Day, 2011	sambianpuikkokala			
			Mastacembelus armatus	(Lacepède, 1800)	kirjopuikkokala			
			Mastacembelus aviceps	Roberts & Stewart, 1976	nokkapuikkokala			
			Mastacembelus brachyrhinus	Boulenger, 1899	töpöpuikkokala			
			Mastacembelus brichardi	(Poll, 1958)	sokkopuikkokala			
			Mastacembelus congicus	Boulenger, 1896	kongonpuikkokala			
			Mastacembelus crassus	Roberts & Stewart, 1976	syvännepuikkokala			
			Mastacembelus cryptacanthus	Günther, 1867	punasilmäpuikkokala	ruskopuikkokala		
			Mastacembelus cunningtoni	Boulenger, 1906	saumapuikkokala			
			Mastacembelus dayi	Boulenger, 1912	ketjupuikkokala			
			Mastacembelus decorsei	Pellegrin, 1919	nigerinpuikkokala			
			Mastacembelus ellipsifer	Boulenger, 1899	pantapuikkokala			
			Mastacembelus erythrotaenia	Bleeker, 1850	tulipuikkokala			
			Mastacembelus favus	Hora, 1924	rengaspuikkokala			
			Mastacembelus flavidus	Matthes, 1962	pippuripuikkokala	täpläpuikkokala		
			Mastacembelus frenatus	Boulenger, 1901	laikkupuikkokala 	ohjaspuikkokala		
			Mastacembelus greshoffi	Boulenger, 1901	koskipuikkokala			
			Mastacembelus kakrimensis	Vreven & Teugels, 2005	seittipuikkokala			
			Mastacembelus latens	Roberts & Stewart, 1976	piilopuikkokala			
			Mastacembelus liberiensis	Boulenger, 1898	kuviopuikkokala			
			Mastacembelus loennbergii	Boulenger, 1898	pilkkupuikkokala			
			Mastacembelus marchei	Sauvage, 1879	kameruninpuikkokala			
			Mastacembelus mastacembelus	(Banks & Solander, 1794)	puikkokala			
			Mastacembelus micropectus	Matthes, 1962	luolapuikkokala			
			Mastacembelus moorii	Boulenger, 1898	kennopuikkokala			
			Mastacembelus niger	Sauvage, 1879	korupuikkokala			
			Mastacembelus nigromarginatus	Boulenger, 1898	mustasaumapuikkokala			
			Mastacembelus notophthalmus	Roberts, 1989	viirusilmäpuikkokala 	harmaapuikkokala		
			Mastacembelus oatesii	Boulenger, 1893	sirpalepuikkokala			
			Mastacembelus ophidium	Günther, 1894	käärmepuikkokala			
			Mastacembelus pantherinus	Britz, 2007	pantteripuikkokaala			
			Mastacembelus paucispinis	Boulenger, 1899	vuollepuikkokala			
			Mastacembelus plagiostomus	Matthes, 1962	satulapuikkokala			
			Mastacembelus platysoma	Poll & Matthes, 1962	suippopuikkokala			
			Mastacembelus polli	Vreven, 2005	kesakkopuikkokala			
			Mastacembelus praensis	(Travers, 1992)	keltapilkkupuikkokala  	ketjupuikkokala		
			Mastacembelus reygeli	Vreven & Snoeks, 2009	kalemienpuikkokala			
			Mastacembelus robertsi	(Vreven & Teugels, 1996)	tihrupuikkokala			
			Mastacembelus sanagali	Thys van den Audenaerde, 1972	rivitäpläpuikkokala			
			Mastacembelus seiteri	Thys van den Audenaerde, 1972	hietapuikkokala			
			Mastacembelus shiloangoensis	(Vreven, 2004)	täpläselkäpuikkokala			
			Mastacembelus shiranus	Günther, 1896	malawinpuikkokala			
			Mastacembelus simbi	Vreven & Stiassny, 2009	naperopuikkokala			
			Mastacembelus strigiventus	Zhou & Yang, 2011	viiruvatsapuikkokala			
			Mastacembelus taiaensis	(Travers, 1992)	juovapuikkokala			
			Mastacembelus tanganicae	Günther, 1894	tanganjikanpuikkokala			
			Mastacembelus tinwini	Britz, 2007	kultaselkäpuikkokala			
			Mastacembelus undulatus	(McClelland, 1844)	aaltopuikkokala			
			Mastacembelus unicolor	Cuvier, 1832	tummapuikkokala			
			Mastacembelus vanderwaali	Skelton, 1976	ruutupuikkokala			
			Mastacembelus zebratus	Matthes, 1962	kolopuikkokala			
		suku	Sinobdella	Kottelat & Lim, 1994				
			Sinobdella dienbienensis	(Nguyen & Nguyen, 2005)	vietnaminpuikkokala			
			Sinobdella sinensis	(Bleeker, 1870)	kiinanpuikkokala			
MX.5086648		heimo	Chaudhuriidae		silopuikkokalat			
		suku	Chaudhuria	Annandale, 1918				
			Chaudhuria caudata	Annandale, 1918	silopuikkokala			
		suku	Pillaia	Yazdani, 1972				
			Pillaia indica	Yazdani, 1972	puropuikkokala			
MX.5086649		alalahko	Indostomoidei					
MX.5086650		heimo	Indostomidae		piikkineulat			
		suku	Indostomus	Prashad & Mukerji, 1929				
			Indostomus crocodilus	Britz & Kottelat, 1999	krokotiilipiikkineula			
			Indostomus paradoxus	Prashad & Mukerji, 1929	piikkineula			
			Indostomus spinosus	Britz & Kottelat, 1999	raitapiikkineula			
MX.5086651		alalahko	Synbranchoidei					
MX.5086652		heimo	Synbranchidae		kutsat			
		suku	Monopterus	Lacepède, 1800				
			Monopterus albus	(Zuiew, 1793)	täpläkutsa			
			Monopterus cuchia	(Hamilton, 1822)	kutsa			
		suku	Ophisternon	McClelland, 1844				
			Ophisternon gutturale	(Richardson, 1845)	pippurikutsa			
			Ophisternon infernale	(Hubbs, 1938)	sokkokutsa			
		suku	Synbranchus	Bloch, 1795				
			Synbranchus lampreia	Favorito, Zanata & Assumpção, 2005	laikkukutsa			
			Synbranchus madeirae	Rosen & Rumney, 1972	kirjokutsa			
			Synbranchus marmoratus	Bloch, 1795	marmorikutsa			
MX.5084367		lahko	Anabantiformes		labyrinttikalat			
MX.5086653		alalahko	Anabantoidei					
MX.5086654		heimo	Anabantidae		kiipijäkalat			
		suku	Anabas	Cloquet, 1816				
			Anabas cobojius	(Hamilton, 1822)	gangesinkiipijäkala			
			Anabas testudineus	(Bloch, 1792)	kiipijäkala			
		suku	Ctenopoma	Peters, 1844				
			Ctenopoma acutirostre	Pellegrin, 1899	pantterikiipijäkala			
			Ctenopoma kingsleyae	Günther, 1896	ruskokiipijäkala			
			Ctenopoma maculatum	Thominot, 1886	täpläkiipijäkala			
			Ctenopoma multispine	Peters, 1844	piikkikiipijäkala			
			Ctenopoma muriei	(Boulenger, 1906)	niilinkiipijäkala			
			Ctenopoma nebulosum	Norris & Teugels, 1990	hämykiipijäkala			
			Ctenopoma nigropannosum	Reichenow, 1875	torpedokiipijäkala			
			Ctenopoma ocellatum	Pellegrin, 1899	rengaskiipijäkala			
			Ctenopoma pellegrini	(Boulenger, 1902)	rusokiipijäkala			
			Ctenopoma petherici	Günther, 1864	afrikankiipijäkala			
			Ctenopoma weeksii	Boulenger, 1896	kirjokiipijäkala			
		suku	Microctenopoma	Norris, 1995				
			Microctenopoma ansorgii	(Boulenger, 1912)	loistokiipijäkala			
			Microctenopoma congicum	(Boulenger, 1887)	kongonkiipijäkala			
			Microctenopoma damasi	(Poll & Damas, 1939)	helmikiipijäkala			
			Microctenopoma fasciolatum	(Boulenger, 1899)	raitakiipijäkala			
			Microctenopoma intermedium	(Pellegrin, 1920)	valjukiipijäkala			
			Microctenopoma nanum	(Günther, 1896)	kääpiökiipijäkala			
		suku	Sandelia	Castelnau, 1861				
			Sandelia capensis	(Cuvier, 1829)	kapinkiipijäkala			
MX.5086655		heimo	Helostomatidae		pusukalat			
		suku	Helostoma	Cuvier, 1829				
			Helostoma temminckii	Cuvier, 1829	pusukala			
MX.5086656		heimo	Osphronemidae		guramit			
MX.5086657		alaheimo	Belontiinae		kampapyrstöt			
		suku	Belontia	Myers, 1923				
			Belontia hasselti	(Cuvier, 1831)	verkkokampapyrstö			
			Belontia signata	(Günther, 1861)	kampapyrstö			
MX.5086658		alaheimo	Osphroneminae		guramit			
		suku	Osphronemus	Lacepède, 1801				
			Osphronemus exodon	Roberts, 1994	hammasgurami			
			Osphronemus goramy	Lacepède, 1801	gurami			
			Osphronemus laticlavius	Roberts, 1992	punagurami			
			Osphronemus septemfasciatus	Roberts, 1992	raitagurami			
MX.5086659		alaheimo	Luciocephalinae					
		suku	Ctenops	McClelland, 1845				
			Ctenops nobilis	McClelland, 1845	nokkarihmakala			
		suku	Luciocephalus	Bleeker, 1850				
			Luciocephalus aura	Tan & Ng, 2005	hohtohauenpääkala			
			Luciocephalus pulcher	(Gray, 1830)	hauenpääkala			
		suku	Parasphaerichthys	Prashad & Mukerji, 1929				
			Parasphaerichthys lineatus	Britz & Kottelat, 2002	linjarihmakala			
			Parasphaerichthys ocellatus	Prashad & Mukerji, 1929	rengasrihmakala			
		suku	Sphaerichthys	Canestrini, 1860				
			Sphaerichthys acrostoma 	Vierke, 1979	ohjasrihmakala			
			Sphaerichthys osphromenoides	Canestrini, 1860	suklaarihmakala			
			Sphaerichthys selatanensis	Vierke, 1979	raitarihmakala			
			Sphaerichthys vaillanti	Pellegrin, 1930	tulirihmakala			
MX.5086660		alaheimo	Trichogastrinae					
		suku	Trichogaster	Bloch & Schneider, 1801				
			Trichogaster bejeus 	(Hamilton, 1822)	juovarihmakala			
			Trichogaster chuna	(Hamilton, 1822)	hunajarihmakala			
			Trichogaster fasciata	Bloch & Schneider, 1801	kääpiörihmakala			
			Trichogaster labiosa	Day, 1877	huulirihmakala			
		suku	Trichopodus	Lacepède, 1801				
			Trichopodus leerii	(Bleeker, 1852)	helmirihmakala			
			Trichopodus microlepis	(Günther, 1861)	kuutamorihmakala			
			Trichopodus pectoralis	Regan, 1910	seeprarihmakala			
			Trichopodus poptae	Low, Tan & Britz, 2014	täplärihmakala			
			Trichopodus trichopterus	(Pallas, 1770)	ruskorihmakala			
MX.5086661		alaheimo	Macropodusinae					
		suku	Betta	Bleeker, 1850				
			Betta akarensis 	Regan, 1910	kaarnataistelija			
			Betta albimarginata	Kottelat & Ng, 1994	valkosaumataistelija			
			Betta anabatoides	Bleeker, 1851	jättitaistelija			
			Betta balunga	Herre, 1940	viherevätaistelija			
			Betta bellica	Sauvage, 1884	vihertaistelija			
			Betta brownorum	Witte & Schmidt, 1992	tulitaistelija			
			Betta burdigala	Kottelat & Ng, 1994	kuparitaistelija			
			Betta channoides	Kottelat & Ng, 1994	käärmeenpäätaistelija			
			Betta chini	Ng, 1993	ohjastaistelija			
			Betta chloropharynx	Kottelat & Ng, 1994	viherleukataistelija			
			Betta coccina	Vierke, 1979	punataistelija			
			Betta dimidiata	Roberts, 1989	rihmataistelija			
			Betta edithae	Vierke, 1984	lyhtytaistelija			
			Betta enisae	Kottelat, 1995	safiiritaistelija			
			Betta falx	Tan & Kottelat, 1998	turkoositaistelija			
			Betta foerschi	Vierke, 1979	tuliposkitaistelija			
			Betta fusca	Regan, 1910	ruskotaistelija			
			Betta ideii	Tan & Ng, 2006	oranssiposkitaistelija 			
			Betta imbellis	Ladiges, 1975	purppurataistelija			
			Betta livida	Ng & Kottelat, 1992	punaevätaistelija			
			Betta macrostoma	Regan, 1910	palettitaistelija			
			Betta miniopinna	Tan & Tan, 1994	minitaistelija			
			Betta ocellata	de Beaufort, 1933	pistetaistelija			
			Betta patoti	Weber & de Beaufort, 1922	naamiotaistelija			
			Betta persephone	Schaller, 1986	mustataistelija			
			Betta pi	Tan, 1998	jymytaistelija			
			Betta picta	(Valenciennes, 1846)	jaavantaistelija			
			Betta prima	Kottelat, 1994	kolmijuovataistelija			
			Betta pugnax	(Cantor, 1849)	timanttitaistelija			
			Betta pulchra	Tan & Tan, 1996	korutaistelija			
			Betta raja	Tan & Ng, 2005	turkoosiposkitaistelija			
			Betta rubra	Perugia, 1893	rubiinitaistelija			
			Betta rutilans	Witte & Kottelat, 1991	rusotaistelija			
			Betta schalleri	Kottelat & Ng, 1994	viirutaistelija			
			Betta simorum	Tan & Ng, 1996	smaragditaistelija			
			Betta simplex	Kottelat, 1994	mustasaumataistelija			
			Betta smaragdina	Ladiges, 1972	loistotaistelija			
			Betta spilotogena	Ng & Kottelat, 1994	mustahuulitaistelija			
			Betta splendens	Regan, 1910	taistelukala			
			Betta strohi	Schaller & Kottelat, 1989	kultaposkitaistelija			
			Betta taeniata	Regan, 1910	juovataistelija			
			Betta tomi	Ng & Kottelat, 1994	mustaleukataistelija			
			Betta tussyae	Schaller, 1985	karmiinitaistelija			
			Betta uberis	Tan & Ng, 2006	tähtisilmätaistelija			
			Betta unimaculata	(Popta, 1905)	hohtotaistelija			
			Betta waseri	Krummenacher, 1986	isotaistelija			
		suku	Macropodus	Lacepède, 1801				
			Macropodus erythropterus	Freyhof & Herder, 2002	punaeväparatiisikala			
			Macropodus hongkongensis	Freyhof & Herder, 2002	ruskoparatiisikala			
			Macropodus ocellatus	Cantor, 1842	rubiiniparatiisikala			
			Macropodus opercularis	(Linnaeus, 1758)	paratiisikala			
			Macropodus spechti	Schreitmüller, 1936	siniparatiisikala			
		suku	Malpulutta	Deraniyagala, 1937				
			Malpulutta kretseri	Deraniyagala, 1937	viiririhmakala			
		suku	Parosphromenus		loistoguramit			
			Parosphromenus alfredi	Kottelat & Ng, 2005	siniloistogurami			
			Parosphromenus allani	Brown, 1987	rubiiniloistogurami	sateenkaarigurami		
			Parosphromenus anjunganensis	Kottelat, 1991	ruosteloistogurami	ruostegurami		
			Parosphromenus bintan	Kottelat & Ng, 1998	kobolttiloistogurami			
			Parosphromenus deissneri	(Bleeker, 1859)	loistogurami			
			Parosphromenus filamentosus	Vierke, 1981	viiriloistogurami	viirigurami		
			Parosphromenus gunawani	Schindler & Linke, 2012	safiiriloistogurami			
			Parosphromenus harveyi	Brown, 1987	turkoosiloistogurami	turkoosigurami		
			Parosphromenus juelinae 	Shi, Guo, Haryono, Hong & Zhang, 2021	purppuraloistogurami			
			Parosphromenus kishii 	Shi, Guo, Haryono, Hong & Zhang, 2021	ruostepyrstögurami			
			Parosphromenus linkei	Kottelat, 1991	timanttiloistogurami	timanttigurami		
			Parosphromenus nagyi	Schaller, 1985	lakritsiloistogurami	lakritsigurami		
			Parosphromenus opallios	Kottelat & Ng, 2005	opaaliloistogurami			
			Parosphromenus ornaticauda	Kottelat, 1991	koruloistogurami	korugurami		
			Parosphromenus pahuensis	Kottelat & Ng, 2005	kirsikkaloistogurami			
			Parosphromenus paludicola	Tweedie, 1952	suoloistogurami	suogurami		
			Parosphromenus parvulus	Vierke, 1979	kääpiöloistogurami	pikkugurami		
			Parosphromenus phoenicurus	Schindler & Linke, 2012	tuliloistogurami			
			Parosphromenus quindecim	Kottelat & Ng, 2005	palettiloitogurami			
			Parosphromenus rubrimontis	Kottelat & Ng, 2005	saumaloistogurami			
			Parosphromenus sumatranus	Klausewitz, 1955	täpläloistogurami			
			Parosphromenus tweediei	Kottelat & Ng, 2005	karmiiniloistogurami			
		suku	Pseudosphromenus	Bleeker, 1879				
			Pseudosphromenus cupanus	(Cuvier, 1831)	pikkuparatiisikala			
			Pseudosphromenus dayi	(Köhler, 1908)	loistoparatiisikala			
		suku	Trichopsis	Canestrini, 1860				
			Trichopsis pumila	(Arnold, 1936)	korurihmakala			
			Trichopsis schalleri	Ladiges, 1962	timanttirihmakala			
			Trichopsis vittata	(Cuvier, 1831)	murisijarihmakala			
MX.5084368		alalahko	Channoidei					
MX.5086662		heimo	Aenigmachannidae		luolakäärmeenpäät			
		suku	Aenigmachanna	Britz, Anoop, Dahanukar & Raghavan, 2019				
			Aenigmachanna gollum 	Britz, Anoop, Dahanukar & Raghavan, 2019	luolakäärmeenpää 			
			Aenigmachanna mahabali 	Kumar, Basheer, and Ravi,, 2019 	kätkökäärmeenpää			
MX.5084369		heimo	Channidae		käärmeenpäät			
MX.5084370		suku	Channa	Scopoli, 1777				
			Channa amphibeus	(McClelland, 1845)	pippurikäärmeenpää			
			Channa andrao	Britz, 2013	sateenkaarikäärmeenpää			
			Channa ara 	(Deraniyagala, 1945)	täpläkäärmeenpää			
MX.5084371			Channa argus	(Cantor, 1842)	idänkäärmeenpää			
			Channa aristonei 	Praveenraj, Thackeray, Singh, Uma, Moulitharan & Mukhim, 2020	turkoosikäärmeenpää			
			Channa asiatica	(Linnaeus, 1758)	käärmeenpää			
			Channa aurantimaculata	Musikasinthorn, 2000	kultakäärmeenpää			
			Channa aurantipectoralis	Lalhlimpuia, Lalronunga & Lalramliana, 2016	kultaeväkäärmeenpää			
			Channa auroflammea 	Adamson, Britz & Lieng, 2019	kultavatsakäärmeenpää			
			Channa aurolineata 	(Day, 1870)	kultarengaskäärmeenpää			
			Channa bankanensis	(Bleeker, 1853)	malesiankäärmeenpää			
			Channa baramensis	(Steindachner, 1901)	ruskokäärmeenpää			
			Channa barca	(Hamilton, 1822)	mosaiikkikäärmeenpää			
			Channa bipuli 	Praveenraj, Uma, Moulitharan & Bleher, 2018	safiirieväkäärmeenpää			
			Channa bleheri	Vierke, 1991	korukäärmeenpää			
			Channa brunnea 	Praveenraj, Uma, Moulitharan & Kannan, 2019	okrakäärmeenpää			
			Channa burmanica	Chaudhuri, 1919	valkosaumakäärmeenpää			
			Channa cyanospilos	(Bleeker, 1853)	sinipilkkukäärmeenpää			
			Channa diplogramma	(Day, 1865)	laikkukäärmeenpää			
