TaxonID	TaxonRank	ScientificName	Author	ParentTaxonID	ParentScientificName	VernacularFI	AlternativeFI	ColloquialVernacularNameFI		#NOTES
		Dieffenbachia seguine	(Jacq.) Schott		Dieffenbachia	täpläkirjovehka				
	suku	Dipterocarpus	C.F.Gaertn.	MX.4986514	Dipterocarpaceae	siipipuut				
		Dipterocarpus alatus	Roxb. ex G.Don		Dipterocarpus	indokiinansiipipuu	siipipuu			
	suku	Dracophyllum 	Labill.	MX.38594	Ericaceae	traakkiot				
		Dracophyllum verticillatum	Labill.		Dracophyllum	kiehkuratraakkio				
	suku	Echinocereus	Engelm.	MX.4985864	Cactaceae	piirikaktukset				
		Echinocereus fendleri	(Engelm.) Sencke ex Haage		Echinocereus	roosapiirikaktus	piirikaktus			
		Eragrostis superba	Peyr.	MX.40646	Eragrostis	pulskaröllinurmikka	röllinurmikka			
	suku	Eriocaulon	L.	MX.4986403	Eriocaulaceae	nuppipuikot				
		Eriocaulon neocaledonicum	Schltr.		Eriocaulon	uudenkaledoniannuppipuikko				
	suku	Etlingera	Giseke	MX.4986400	Zingiberaceae	inkivääriöt				
		Etlingera elatior	(Jack) R.M.Sm.		Etlingera	soihtuinkivääriö				
		Euphorbia balsamifera	Aiton	MX.38706	Euphorbia	palsamityräkki				
		Ferocactus acanthodes	(Lem.) Britton & Rose	MX.5023220	Ferocactus	pylväsrautakaktus				syn. Ferrocactus cylindraceus (Engelm.) Orcutt
		Ferocactus histrix	(DC.) G.E.Linds.	MX.5023220	Ferocactus	pronssirautakaktus				
